,year,season,temp
327,1981,Summer,19.96 
328,1981,Autumn,8.66 
329,1982,Winter,-4.77 
330,1982,Spring,6.61 
331,1982,Summer,18.57 
332,1982,Autumn,10.06 
333,1983,Winter,-3.88 
334,1983,Spring,7.26 
335,1983,Summer,20.56 
336,1983,Autumn,10.23 
337,1984,Winter,-2.53 
338,1984,Spring,5.73 
339,1984,Summer,20.48 
340,1984,Autumn,9.51 
341,1985,Winter,-5.42 
342,1985,Spring,7.98 
343,1985,Summer,18.94 
344,1985,Autumn,9.95 
345,1986,Winter,-3.96 
346,1986,Spring,8.31 
347,1986,Summer,18.60 
348,1986,Autumn,8.39 
349,1987,Winter,-4.28 
350,1987,Spring,7.70 
351,1987,Summer,19.61 
352,1987,Autumn,8.85 
353,1988,Winter,-5.00 
354,1988,Spring,7.28 
355,1988,Summer,20.63 
356,1988,Autumn,8.71 
357,1989,Winter,-5.98 
358,1989,Spring,6.77 
359,1989,Summer,19.75 
360,1989,Autumn,9.51 
361,1990,Winter,-1.09 
362,1990,Spring,7.01 
363,1990,Summer,20.28 
364,1990,Autumn,10.59 
365,1991,Winter,-3.02 
366,1991,Spring,9.28 
367,1991,Summer,20.30 
368,1991,Autumn,9.74 
369,1992,Winter,-3.49 
370,1992,Spring,6.06 
371,1992,Summer,18.63 
372,1992,Autumn,8.40 
373,1993,Winter,-4.77 
374,1993,Spring,6.98 
375,1993,Summer,20.21 
376,1993,Autumn,8.92 
377,1994,Winter,-5.93 
378,1994,Spring,6.99 
379,1994,Summer,20.79 
380,1994,Autumn,10.01 
381,1995,Winter,-4.17 
382,1995,Spring,6.90 
383,1995,Summer,20.61 
384,1995,Autumn,9.17 
385,1996,Winter,-3.30 
386,1996,Spring,6.22 
387,1996,Summer,20.00 
388,1996,Autumn,8.82 
389,1997,Winter,-2.73 
390,1997,Spring,5.78 
391,1997,Summer,19.75 
392,1997,Autumn,8.67 
393,1998,Winter,-0.60 
394,1998,Spring,8.81 
395,1998,Summer,20.10 
396,1998,Autumn,10.22 
397,1999,Winter,-2.58 
398,1999,Spring,7.91 
399,1999,Summer,21.01 
400,1999,Autumn,10.89 
401,2000,Winter,-4.58 
402,2000,Spring,8.17 
403,2000,Summer,19.00 
404,2000,Autumn,9.41 
405,2001,Winter,-2.67 
406,2001,Spring,7.05 
407,2001,Summer,20.44 
408,2001,Autumn,10.83 
409,2002,Winter,-1.81 
410,2002,Spring,7.76 
411,2002,Summer,20.50 
412,2002,Autumn,9.62 
413,2003,Winter,-5.76 
414,2003,Spring,6.27 
415,2003,Summer,20.54 
416,2003,Autumn,10.05 
417,2004,Winter,-5.39 
418,2004,Spring,8.29 
419,2004,Summer,19.51 
420,2004,Autumn,9.94 
421,2005,Winter,-4.45 
422,2005,Spring,6.18 
423,2005,Summer,21.52 
424,2005,Autumn,10.98 
425,2006,Winter,-0.88 
426,2006,Spring,7.70 
427,2006,Summer,20.67 
428,2006,Autumn,10.44 
429,2007,Winter,-4.34 
430,2007,Spring,6.94 
431,2007,Summer,20.10 
432,2007,Autumn,10.76 
433,2008,Winter,-2.92 
434,2008,Spring,7.14 
435,2008,Summer,20.35 
436,2008,Autumn,9.56 
437,2009,Winter,-4.91 
438,2009,Spring,7.92 
439,2009,Summer,19.46 
440,2009,Autumn,9.80 
441,2010,Winter,-3.54 
442,2010,Spring,10.12 
443,2010,Summer,21.31 
444,2010,Autumn,10.43 
