,year,month,temp
196,1916,4,13.03 
197,1916,5,17.58 
198,1916,6,20.61 
199,1916,7,24.32 
200,1916,8,23.60 
201,1916,9,20.03 
202,1916,10,14.38 
203,1916,11,9.23 
204,1916,12,4.10 
205,1917,1,3.92 
206,1917,2,4.50 
207,1917,3,8.39 
208,1917,4,12.38 
209,1917,5,14.84 
210,1917,6,21.46 
211,1917,7,24.52 
212,1917,8,23.30 
213,1917,9,20.17 
214,1917,10,14.10 
215,1917,11,9.86 
216,1917,12,3.71 
217,1918,1,1.00 
218,1918,2,5.99 
219,1918,3,11.00 
220,1918,4,12.67 
221,1918,5,18.15 
222,1918,6,22.81 
223,1918,7,23.49 
224,1918,8,24.29 
225,1918,9,19.25 
226,1918,10,16.74 
227,1918,11,9.40 
228,1918,12,6.24 
229,1919,1,5.04 
230,1919,2,5.23 
231,1919,3,9.22 
232,1919,4,13.30 
233,1919,5,17.43 
234,1919,6,22.02 
235,1919,7,24.24 
236,1919,8,23.43 
237,1919,9,20.87 
238,1919,10,15.89 
239,1919,11,9.45 
240,1919,12,4.03 
241,1920,1,3.61 
242,1920,2,5.27 
243,1920,3,8.69 
244,1920,4,11.81 
245,1920,5,17.11 
246,1920,6,21.22 
247,1920,7,23.46 
248,1920,8,23.08 
249,1920,9,20.80 
250,1920,10,15.52 
251,1920,11,8.95 
252,1920,12,5.55 
253,1921,1,5.74 
254,1921,2,7.06 
255,1921,3,12.26 
256,1921,4,13.59 
257,1921,5,17.16 
258,1921,6,22.39 
259,1921,7,24.85 
260,1921,8,23.47 
261,1921,9,22.01 
262,1921,10,15.79 
263,1921,11,10.84 
264,1921,12,6.78 
265,1922,1,2.89 
266,1922,2,6.05 
267,1922,3,8.94 
268,1922,4,13.04 
269,1922,5,18.44 
270,1922,6,22.43 
271,1922,7,23.98 
272,1922,8,23.72 
273,1922,9,21.93 
274,1922,10,15.79 
275,1922,11,9.83 
276,1922,12,6.45 
277,1923,1,6.03 
278,1923,2,4.22 
279,1923,3,8.44 
280,1923,4,12.87 
281,1923,5,17.34 
282,1923,6,21.32 
283,1923,7,23.76 
284,1923,8,23.30 
285,1923,9,20.87 
286,1923,10,14.32 
287,1923,11,10.09 
288,1923,12,7.33 
289,1924,1,3.24 
290,1924,2,6.06 
291,1924,3,7.27 
292,1924,4,12.99 
293,1924,5,16.83 
294,1924,6,22.05 
295,1924,7,23.27 
296,1924,8,23.77 
297,1924,9,19.75 
298,1924,10,15.30 
299,1924,11,10.37 
300,1924,12,3.95 
301,1925,1,3.91 
302,1925,2,8.08 
303,1925,3,10.54 
304,1925,4,14.66 
305,1925,5,17.22 
306,1925,6,22.80 
307,1925,7,24.47 
308,1925,8,23.30 
309,1925,9,21.53 
310,1925,10,13.38 
311,1925,11,9.18 
312,1925,12,5.22 
313,1926,1,4.05 
314,1926,2,7.11 
315,1926,3,8.42 
316,1926,4,12.75 
317,1926,5,17.97 
318,1926,6,21.54 
319,1926,7,23.96 
320,1926,8,24.00 
321,1926,9,20.63 
322,1926,10,15.93 
323,1926,11,9.85 
324,1926,12,4.77 
325,1927,1,4.87 
326,1927,2,8.13 
327,1927,3,9.57 
328,1927,4,13.50 
329,1927,5,17.81 
330,1927,6,20.94 
331,1927,7,23.92 
332,1927,8,22.40 
333,1927,9,20.74 
334,1927,10,16.46 
335,1927,11,11.87 
336,1927,12,4.50 
337,1928,1,5.06 
338,1928,2,6.19 
339,1928,3,10.01 
340,1928,4,12.26 
341,1928,5,17.92 
342,1928,6,20.83 
343,1928,7,24.08 
344,1928,8,23.87 
345,1928,9,20.01 
346,1928,10,16.03 
347,1928,11,9.88 
348,1928,12,5.52 
349,1929,1,3.43 
350,1929,2,3.41 
351,1929,3,10.50 
352,1929,4,13.49 
353,1929,5,17.49 
354,1929,6,21.50 
355,1929,7,24.08 
356,1929,8,23.87 
357,1929,9,20.59 
358,1929,10,15.48 
359,1929,11,9.17 
360,1929,12,6.30 
361,1930,1,2.71 
362,1930,2,8.71 
363,1930,3,8.90 
364,1930,4,14.50 
365,1930,5,17.29 
366,1930,6,21.87 
367,1930,7,24.70 
368,1930,8,23.90 
369,1930,9,21.11 
370,1930,10,14.57 
371,1930,11,10.00 
372,1930,12,4.53 
373,1931,1,5.21 
374,1931,2,7.31 
375,1931,3,8.52 
376,1931,4,13.57 
377,1931,5,17.82 
378,1931,6,22.44 
379,1931,7,25.72 
380,1931,8,23.96 
381,1931,9,22.23 
382,1931,10,16.71 
383,1931,11,11.18 
384,1931,12,7.03 
385,1932,1,5.98 
386,1932,2,7.78 
387,1932,3,7.94 
388,1932,4,13.25 
389,1932,5,17.79 
390,1932,6,22.02 
391,1932,7,24.28 
392,1932,8,23.90 
393,1932,9,20.84 
394,1932,10,15.18 
395,1932,11,9.70 
396,1932,12,4.51 
397,1933,1,6.44 
398,1933,2,4.88 
399,1933,3,9.33 
400,1933,4,12.95 
401,1933,5,17.71 
402,1933,6,22.51 
403,1933,7,24.67 
404,1933,8,23.74 
405,1933,9,21.84 
406,1933,10,16.23 
407,1933,11,10.21 
408,1933,12,7.00 
409,1934,1,6.35 
410,1934,2,4.82 
411,1934,3,10.00 
412,1934,4,14.59 
413,1934,5,19.43 
414,1934,6,22.77 
415,1934,7,25.45 
416,1934,8,24.17 
417,1934,9,20.95 
418,1934,10,16.30 
419,1934,11,11.38 
420,1934,12,5.57 
421,1935,1,4.91 
422,1935,2,6.35 
423,1935,3,10.35 
424,1935,4,12.97 
425,1935,5,16.53 
426,1935,6,21.61 
427,1935,7,24.63 
428,1935,8,24.27 
429,1935,9,20.48 
430,1935,10,15.42 
431,1935,11,9.48 
432,1935,12,4.11 
433,1936,1,3.64 
434,1936,2,3.05 
435,1936,3,10.84 
436,1936,4,13.07 
437,1936,5,19.13 
438,1936,6,22.56 
439,1936,7,25.29 
440,1936,8,24.95 
441,1936,9,21.60 
442,1936,10,15.48 
443,1936,11,9.36 
444,1936,12,6.45 
445,1937,1,3.86 
446,1937,2,5.47 
447,1937,3,7.97 
448,1937,4,12.94 
449,1937,5,18.42 
450,1937,6,22.20 
451,1937,7,24.56 
452,1937,8,24.93 
453,1937,9,20.94 
454,1937,10,15.34 
455,1937,11,9.53 
456,1937,12,5.61 
457,1938,1,5.22 
458,1938,2,7.43 
459,1938,3,10.96 
460,1938,4,13.72 
461,1938,5,17.77 
462,1938,6,21.69 
463,1938,7,24.27 
464,1938,8,24.63 
465,1938,9,21.28 
466,1938,10,16.18 
467,1938,11,9.77 
468,1938,12,6.27 
469,1939,1,5.74 
470,1939,2,5.16 
471,1939,3,9.74 
472,1939,4,13.58 
473,1939,5,18.67 
474,1939,6,22.35 
475,1939,7,24.53 
476,1939,8,24.19 
477,1939,9,22.15 
478,1939,10,16.17 
479,1939,11,9.97 
480,1939,12,7.43 
481,1940,1,1.42 
482,1940,2,5.81 
483,1940,3,9.15 
484,1940,4,12.97 
485,1940,5,17.95 
486,1940,6,22.24 
487,1940,7,24.14 
488,1940,8,23.56 
489,1940,9,20.26 
490,1940,10,15.96 
491,1940,11,9.30 
492,1940,12,7.38 
493,1941,1,5.26 
494,1941,2,5.48 
495,1941,3,7.94 
496,1941,4,13.91 
497,1941,5,18.83 
498,1941,6,21.51 
499,1941,7,24.39 
500,1941,8,23.58 
501,1941,9,20.94 
502,1941,10,16.41 
503,1941,11,10.77 
504,1941,12,7.07 
505,1942,1,4.19 
506,1942,2,4.32 
507,1942,3,9.38 
508,1942,4,14.03 
509,1942,5,17.72 
510,1942,6,21.93 
511,1942,7,24.68 
512,1942,8,23.58 
513,1942,9,20.27 
514,1942,10,15.84 
515,1942,11,10.93 
516,1942,12,5.45 
517,1943,1,4.62 
518,1943,2,7.00 
519,1943,3,8.69 
520,1943,4,13.59 
521,1943,5,18.26 
522,1943,6,22.44 
523,1943,7,24.44 
524,1943,8,24.27 
525,1943,9,20.55 
526,1943,10,15.09 
527,1943,11,9.63 
528,1943,12,5.09 
529,1944,1,5.12 
530,1944,2,6.26 
531,1944,3,8.55 
532,1944,4,12.31 
533,1944,5,18.70 
534,1944,6,21.88 
535,1944,7,23.83 
536,1944,8,24.05 
537,1944,9,21.14 
538,1944,10,15.70 
539,1944,11,9.86 
540,1944,12,4.48 
541,1945,1,3.65 
542,1945,2,6.46 
543,1945,3,11.45 
544,1945,4,13.82 
545,1945,5,16.76 
546,1945,6,21.20 
547,1945,7,24.00 
548,1945,8,23.68 
549,1945,9,21.51 
550,1945,10,15.44 
551,1945,11,10.49 
552,1945,12,3.93 
553,1946,1,4.92 
554,1946,2,6.17 
555,1946,3,11.74 
556,1946,4,14.65 
557,1946,5,17.31 
558,1946,6,21.74 
559,1946,7,24.23 
560,1946,8,23.22 
561,1946,9,21.01 
562,1946,10,15.67 
563,1946,11,10.41 
564,1946,12,7.15 
565,1947,1,5.30 
566,1947,2,4.57 
567,1947,3,8.03 
568,1947,4,13.92 
569,1947,5,17.96 
570,1947,6,21.41 
571,1947,7,23.67 
572,1947,8,24.60 
573,1947,9,21.81 
574,1947,10,17.68 
575,1947,11,8.54 
576,1947,12,5.46 
577,1948,1,3.01 
578,1948,2,5.01 
579,1948,3,8.64 
580,1948,4,14.51 
581,1948,5,17.52 
582,1948,6,21.85 
583,1948,7,24.14 
584,1948,8,23.68 
585,1948,9,21.14 
586,1948,10,14.98 
587,1948,11,10.70 
588,1948,12,5.88 
589,1949,1,3.73 
590,1949,2,6.07 
591,1949,3,9.15 
592,1949,4,13.81 
593,1949,5,18.36 
594,1949,6,22.65 
595,1949,7,24.70 
596,1949,8,23.59 
597,1949,9,20.39 
598,1949,10,16.12 
599,1949,11,11.29 
600,1949,12,6.27 
601,1950,1,6.20 
602,1950,2,6.85 
603,1950,3,8.45 
604,1950,4,12.74 
605,1950,5,17.77 
606,1950,6,21.59 
607,1950,7,23.45 
608,1950,8,23.07 
609,1950,9,20.08 
610,1950,10,17.32 
611,1950,11,10.09 
612,1950,12,5.59 
613,1951,1,4.89 
614,1951,2,6.12 
615,1951,3,9.04 
616,1951,4,12.99 
617,1951,5,18.04 
618,1951,6,21.37 
619,1951,7,24.36 
620,1951,8,23.86 
621,1951,9,20.93 
622,1951,10,16.15 
623,1951,11,8.48 
624,1951,12,5.57 
625,1952,1,5.78 
626,1952,2,6.90 
627,1952,3,8.00 
628,1952,4,13.42 
629,1952,5,18.11 
630,1952,6,22.60 
631,1952,7,24.83 
632,1952,8,24.23 
633,1952,9,21.30 
634,1952,10,14.93 
635,1952,11,9.43 
636,1952,12,5.69 
637,1953,1,7.13 
638,1953,2,7.03 
639,1953,3,10.40 
640,1953,4,12.62 
641,1953,5,17.68 
642,1953,6,22.53 
643,1953,7,24.74 
644,1953,8,23.65 
645,1953,9,21.39 
646,1953,10,16.32 
647,1953,11,10.78 
648,1953,12,6.15 
649,1954,1,4.93 
650,1954,2,9.08 
651,1954,3,8.51 
652,1954,4,15.43 
653,1954,5,17.11 
654,1954,6,22.26 
655,1954,7,25.19 
656,1954,8,23.74 
657,1954,9,21.68 
658,1954,10,16.20 
659,1954,11,10.51 
660,1954,12,5.67 
661,1955,1,3.70 
662,1955,2,5.25 
663,1955,3,9.62 
664,1955,4,14.29 
665,1955,5,18.43 
666,1955,6,20.78 
667,1955,7,24.67 
668,1955,8,24.69 
669,1955,9,21.54 
670,1955,10,15.95 
671,1955,11,9.13 
672,1955,12,5.21 
673,1956,1,4.66 
674,1956,2,5.75 
675,1956,3,9.07 
676,1956,4,12.64 
677,1956,5,18.34 
678,1956,6,22.56 
679,1956,7,24.02 
680,1956,8,23.65 
681,1956,9,21.05 
682,1956,10,16.29 
683,1956,11,9.82 
684,1956,12,7.55 
685,1957,1,3.45 
686,1957,2,8.49 
687,1957,3,9.38 
688,1957,4,13.75 
689,1957,5,17.59 
690,1957,6,22.76 
691,1957,7,24.73 
692,1957,8,23.65 
693,1957,9,20.81 
694,1957,10,14.29 
695,1957,11,9.62 
696,1957,12,7.28 
697,1958,1,4.42 
698,1958,2,4.55 
699,1958,3,7.54 
700,1958,4,13.46 
701,1958,5,18.58 
702,1958,6,21.66 
703,1958,7,24.20 
704,1958,8,24.45 
705,1958,9,21.43 
706,1958,10,16.21 
707,1958,11,11.06 
708,1958,12,5.09 
709,1959,1,4.27 
710,1959,2,5.79 
711,1959,3,9.65 
712,1959,4,14.37 
713,1959,5,18.69 
714,1959,6,22.65 
715,1959,7,24.71 
716,1959,8,24.57 
717,1959,9,21.25 
718,1959,10,16.15 
719,1959,11,9.46 
720,1959,12,6.91 
721,1960,1,4.27 
722,1960,2,4.86 
723,1960,3,6.72 
724,1960,4,14.64 
725,1960,5,17.55 
726,1960,6,22.55 
727,1960,7,24.36 
728,1960,8,24.00 
729,1960,9,21.71 
730,1960,10,15.91 
731,1960,11,10.57 
732,1960,12,4.00 
733,1961,1,3.66 
734,1961,2,7.41 
735,1961,3,10.21 
736,1961,4,12.60 
737,1961,5,16.90 
738,1961,6,22.13 
739,1961,7,24.37 
740,1961,8,23.93 
741,1961,9,21.04 
742,1961,10,15.74 
743,1961,11,9.77 
744,1961,12,4.99 
745,1962,1,3.23 
746,1962,2,6.39 
747,1962,3,7.74 
748,1962,4,13.96 
749,1962,5,18.80 
750,1962,6,21.68 
751,1962,7,23.64 
752,1962,8,24.08 
753,1962,9,20.44 
754,1962,10,16.38 
755,1962,11,10.11 
756,1962,12,5.05 
757,1963,1,1.93 
758,1963,2,5.57 
759,1963,3,10.13 
760,1963,4,13.67 
761,1963,5,18.00 
762,1963,6,21.77 
763,1963,7,24.23 
764,1963,8,23.63 
765,1963,9,21.24 
766,1963,10,17.68 
767,1963,11,11.01 
768,1963,12,2.90 
769,1964,1,4.65 
770,1964,2,4.71 
771,1964,3,8.71 
772,1964,4,13.57 
773,1964,5,18.22 
774,1964,6,21.71 
775,1964,7,24.66 
776,1964,8,23.42 
777,1964,9,20.52 
778,1964,10,15.45 
779,1964,11,10.51 
780,1964,12,5.97 
781,1965,1,5.00 
782,1965,2,5.45 
783,1965,3,7.29 
784,1965,4,13.63 
785,1965,5,18.51 
786,1965,6,20.80 
787,1965,7,23.69 
788,1965,8,23.71 
789,1965,9,20.24 
790,1965,10,15.94 
791,1965,11,11.35 
792,1965,12,6.55 
793,1966,1,2.80 
794,1966,2,4.82 
795,1966,3,9.93 
796,1966,4,13.44 
797,1966,5,17.61 
798,1966,6,21.90 
799,1966,7,24.79 
800,1966,8,23.70 
801,1966,9,20.41 
802,1966,10,15.14 
803,1966,11,11.00 
804,1966,12,5.43 
805,1967,1,5.77 
806,1967,2,5.25 
807,1967,3,10.16 
808,1967,4,13.06 
809,1967,5,16.72 
810,1967,6,21.51 
811,1967,7,23.99 
812,1967,8,23.68 
813,1967,9,20.28 
814,1967,10,15.76 
815,1967,11,10.03 
816,1967,12,5.59 
817,1968,1,3.57 
818,1968,2,5.27 
819,1968,3,9.93 
820,1968,4,13.83 
821,1968,5,17.16 
822,1968,6,22.06 
823,1968,7,24.13 
824,1968,8,23.56 
825,1968,9,20.74 
826,1968,10,15.94 
827,1968,11,9.78 
828,1968,12,4.31 
829,1969,1,4.46 
830,1969,2,5.24 
831,1969,3,7.16 
832,1969,4,14.08 
833,1969,5,18.34 
834,1969,6,21.43 
835,1969,7,24.77 
836,1969,8,24.48 
837,1969,9,21.18 
838,1969,10,14.77 
839,1969,11,9.85 
840,1969,12,5.45 
841,1970,1,2.68 
842,1970,2,6.30 
843,1970,3,8.38 
844,1970,4,13.20 
845,1970,5,18.64 
846,1970,6,21.91 
847,1970,7,24.62 
848,1970,8,24.45 
849,1970,9,21.29 
850,1970,10,15.27 
851,1970,11,9.98 
852,1970,12,6.10 
853,1971,1,3.91 
854,1971,2,5.79 
855,1971,3,8.53 
856,1971,4,12.77 
857,1971,5,16.65 
858,1971,6,22.40 
859,1971,7,24.06 
860,1971,8,23.77 
861,1971,9,21.40 
862,1971,10,16.49 
863,1971,11,9.82 
864,1971,12,6.70 
865,1972,1,4.67 
866,1972,2,5.95 
867,1972,3,10.64 
868,1972,4,13.49 
869,1972,5,18.12 
870,1972,6,21.63 
871,1972,7,24.31 
872,1972,8,23.76 
873,1972,9,21.02 
874,1972,10,14.65 
875,1972,11,8.55 
876,1972,12,4.88 
877,1973,1,4.14 
878,1973,2,5.56 
879,1973,3,10.42 
880,1973,4,12.88 
881,1973,5,17.61 
882,1973,6,22.67 
883,1973,7,24.27 
884,1973,8,23.95 
885,1973,9,20.89 
886,1973,10,16.51 
887,1973,11,10.84 
888,1973,12,5.98 
889,1974,1,5.36 
890,1974,2,6.02 
891,1974,3,10.80 
892,1974,4,13.91 
893,1974,5,18.14 
894,1974,6,21.74 
895,1974,7,24.46 
896,1974,8,23.44 
897,1974,9,20.11 
